department,salary,avg_month_hours,experience,projects,promotion,work_accident,satisfaction,evaluation,left
sales,low,157,3,2,0,0,0.38,0.53,1
sales,medium,262,6,5,0,0,0.8,0.86,1
sales,medium,272,4,7,0,0,0.11,0.88,1
sales,low,223,5,5,0,0,0.72,0.87,1
sales,low,159,3,2,0,0,0.37,0.52,1
sales,low,153,3,2,0,0,0.41,0.5,1
sales,low,247,4,6,0,0,0.1,0.77,1
sales,low,259,5,5,0,0,0.92,0.85,1
sales,low,224,5,5,0,0,0.89,1.0,1
sales,low,142,3,2,0,0,0.42,0.53,1
sales,low,135,3,2,0,0,0.45,0.54,1
sales,low,305,4,6,0,0,0.11,0.81,1
sales,low,234,5,4,0,0,0.84,0.92,1
sales,low,148,3,2,0,0,0.41,0.55,1
sales,low,137,3,2,0,0,0.36,0.56,1
sales,low,143,3,2,0,0,0.38,0.54,1
sales,low,160,3,2,0,0,0.45,0.47,1
sales,low,255,6,4,0,0,0.78,0.99,1
sales,low,160,3,2,1,1,0.45,0.51,1
sales,low,262,5,5,0,0,0.76,0.89,1
sales,low,282,4,6,0,0,0.11,0.83,1
sales,low,147,3,2,0,0,0.38,0.55,1
sales,low,304,4,6,0,0,0.09,0.95,1
sales,low,139,3,2,0,0,0.46,0.57,1
sales,low,158,3,2,0,0,0.4,0.53,1
sales,low,242,5,5,0,0,0.89,0.92,1
sales,low,239,5,4,0,0,0.82,0.87,1
sales,low,135,3,2,0,0,0.4,0.49,1
accounting,low,128,3,2,0,0,0.41,0.46,1
accounting,low,132,3,2,0,0,0.38,0.5,1
accounting,low,294,4,6,0,0,0.09,0.62,1
hr,low,134,3,2,0,0,0.45,0.57,1
hr,low,145,3,2,0,0,0.4,0.51,1
hr,low,140,3,2,0,0,0.45,0.55,1
hr,low,246,6,4,0,0,0.84,0.87,1
technical,low,255,4,6,0,0,0.1,0.94,1
technical,low,137,3,2,0,0,0.38,0.46,1
technical,low,126,3,2,0,0,0.45,0.5,1
technical,low,306,4,6,0,0,0.11,0.89,1
technical,low,152,3,2,0,0,0.41,0.54,1
technical,low,269,5,5,0,0,0.87,0.88,1
technical,low,158,3,2,0,0,0.45,0.48,1
technical,low,127,3,2,0,0,0.4,0.46,1
technical,low,281,4,7,0,0,0.1,0.8,1
technical,low,276,4,6,0,0,0.09,0.89,1
technical,low,182,4,3,0,0,0.84,0.74,1
support,low,147,3,2,0,0,0.4,0.55,1
support,low,273,6,3,0,0,0.57,0.7,1
support,low,148,3,2,0,0,0.4,0.54,1
support,low,147,3,2,0,0,0.43,0.47,1
support,low,152,2,6,0,0,0.13,0.78,1
support,low,135,3,2,0,0,0.44,0.55,1
support,low,134,3,2,0,0,0.38,0.55,1
support,low,132,3,2,0,0,0.39,0.54,1
